id;theme;soustheme;type;question;reponse
30;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Maus » est de Art Spiegelman ?;Vrai
31;Technologies du quotidien;Objets & internet;ouverte;Langage de programmation créé par Guido van Rossum;Python
32;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Nouvelle-Zélande est Brazzaville ?;Faux (c'est Wellington)
33;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Blockchain (Bitcoin) ?;Satoshi Nakamoto
34;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Zimbabwe est La Valette ?;Faux (c'est Harare)
35;Géographie;Capitales;ouverte;De quel pays Dublin est-elle la capitale ?;Irlande
36;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Série avec un professeur de chimie devenu baron de la drogue — Breaking Bad ?;Vrai
37;Chronologies & Premières fois;Pionniers & records;ouverte;Premier ordinateur personnel grand public d'Apple;Apple II (1977)
38;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Les Misérables » ?;Victor Hugo
39;Géographie;Capitales;ouverte;De quel pays Montevideo est-elle la capitale ?;Uruguay
40;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Mary Shelley ?;Frankenstein
41;Histoire;Dates clés;vrai/faux;Vrai ou faux : Révolution russe a eu lieu en 1917 ?;Vrai
42;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à David Hume ?;Le scepticisme empiriste
43;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Jacques le fataliste » ?;Denis Diderot
44;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Rayons X ?;Wilhelm Röntgen
45;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Tchéquie est Windhoek ?;Faux (c'est Prague)
46;Géographie;Capitales;ouverte;De quel pays Tirana est-elle la capitale ?;Albanie
47;Géographie;Capitales;vrai/faux;Vrai ou faux : Malé est la capitale de Maldives ?;Vrai
48;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Traité garantissant la protection des réfugiés (ONU) — Convention de Genève de 1951 ?;Vrai
49;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Chanteuse de 'Like a Prayer' — Madonna ?;Vrai
50;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Mot français signifiant littéralement 'apéritif dînatoire' en anglais — Potluck ?;Vrai
51;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Tchad est Gitega ?;Faux (c'est N'Djamena)
52;Géographie;Capitales;ouverte;Quelle est la capitale de Arménie ?;Erevan
53;Géographie;Capitales;ouverte;Quelle est la capitale de Géorgie ?;Tbilissi
54;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Festival de cinéma sur la Croisette — Cannes ?;Vrai
55;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Rouge et le Noir » ?;Stendhal
56;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Sandro Botticelli ?;La Naissance de Vénus
57;Nature & Environnement;Faune, flore et climat;ouverte;Jour de dépassement (Overshoot Day) mesure quoi ?;La date où l'humanité a consommé les ressources annuelles de la Terre
58;Géographie;Capitales;vrai/faux;Vrai ou faux : Brasília est la capitale de Brésil ?;Vrai
59;Géographie;Capitales;ouverte;De quel pays Tallinn est-elle la capitale ?;Estonie
60;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Auteur de 'No Woman, No Cry' — Bob Marley ?;Vrai
61;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Australie est Djibouti ?;Faux (c'est Canberra)
62;Cinéma & Séries;Films, prix, répliques;ouverte;Premier long métrage parlant (1927);Le Chanteur de jazz
63;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Couche d'ozone protège de quel type de rayons ? — UV ?;Vrai
64;Géographie;Capitales;vrai/faux;Vrai ou faux : San Salvador est la capitale de El Salvador ?;Vrai
65;Géographie;Capitales;ouverte;De quel pays Alger est-elle la capitale ?;Algérie
66;Culture populaire;BD, mangas, jeux vidéo;vrai/faux;Vrai ou faux : Créateur de 'Dragon Ball' — Akira Toriyama ?;Vrai
67;Géographie;Capitales;ouverte;Quelle est la capitale de Danemark ?;Copenhague
68;Sport;Records & événements;ouverte;Tournoi du Grand Chelem joué sur terre battue;Roland-Garros
69;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Maus » ?;Art Spiegelman
70;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « La Ronde de nuit » ?;Rembrandt
71;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Julien Gracq ?;Le Rivage des Syrtes
72;Géographie;Capitales;ouverte;De quel pays Podgorica est-elle la capitale ?;Monténégro
73;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Nigeria est Pékin ?;Faux (c'est Abuja)
74;Géographie;Capitales;ouverte;Quelle est la capitale de Tadjikistan ?;Douchanbé
75;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Tim Berners-Lee ?;World Wide Web
76;Géographie;Capitales;ouverte;De quel pays Dodoma est-elle la capitale ?;Tanzanie
77;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Rue des Boutiques Obscures » ?;Patrick Modiano
78;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : La métaphysique ?;Aristote
79;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : La théorie des Idées ?;Platon
80;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Bolivie est Dublin ?;Faux (c'est La Paz)
81;Géographie;Capitales;vrai/faux;Vrai ou faux : Alger est la capitale de Algérie ?;Vrai
82;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Tunisie est Mascate ?;Faux (c'est Tunis)
83;Géographie;Capitales;vrai/faux;Vrai ou faux : Dakar est la capitale de Sénégal ?;Vrai
84;Géographie;Capitales;ouverte;Quelle est la capitale de Mali ?;Bamako
85;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Yémen est Nicosie ?;Faux (c'est Sanaa)
86;Géographie;Capitales;ouverte;Quelle est la capitale de Croatie ?;Zagreb
87;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Malte est Port-Louis ?;Faux (c'est La Valette)
88;Musique;Œuvres, genres, artistes;ouverte;Techno : ville de naissance du genre;Detroit
89;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Stratégie 'zéro déchet' vise à — Réduire drastiquement la production de déchets ?;Vrai
90;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Traité qui fonde l'Union européenne (1992) — Maastricht ?;Vrai
91;Géographie;Capitales;vrai/faux;Vrai ou faux : Astana est la capitale de Kazakhstan ?;Vrai
92;Géographie;Capitales;ouverte;Quelle est la capitale de Pays-Bas ?;Amsterdam
93;Géographie;Capitales;ouverte;De quel pays Phnom Penh est-elle la capitale ?;Cambodge
94;Géographie;Capitales;vrai/faux;Vrai ou faux : Accra est la capitale de Ghana ?;Vrai
95;Géographie;Capitales;ouverte;Quelle est la capitale de Bangladesh ?;Dacca
96;Économie & Finance;Concepts & crises;ouverte;Auteur de 'Le Capital';Karl Marx
97;Géographie;Capitales;ouverte;Quelle est la capitale de Chypre ?;Nicosie
98;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Michel Foucault ?;Le biopouvoir
99;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Cœur artificiel est associé(e) à Robert Jarvik ?;Vrai
100;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Émirats arabes unis est Paris ?;Faux (c'est Abou Dabi)
101;Géographie;Capitales;vrai/faux;Vrai ou faux : Londres est la capitale de Royaume-Uni ?;Vrai
102;Gastronomie;Plats & produits;ouverte;Pâte italienne farcie de viande ou ricotta;Ravioli
103;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Les Joueurs de cartes » est de Paul Cézanne ?;Vrai
104;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Frida Kahlo ?;Les Deux Fridas
105;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Le Penseur » ?;Auguste Rodin
106;Nature & Environnement;Faune, flore et climat;ouverte;Gaz majoritaire dans l'atmosphère terrestre;Azote
107;Société & Médias;Réseaux, slogans, démographie;ouverte;Fondateur de Facebook;Mark Zuckerberg
108;Théâtre & Danse;Pièces, opéras, ballets;vrai/faux;Vrai ou faux : Comédie-ballet de Molière et Lully — Le Bourgeois gentilhomme ?;Vrai
109;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Norvège est Budapest ?;Faux (c'est Oslo)
110;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Stendhal ?;Le Rouge et le Noir
111;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Le Tres de Mayo » ?;Francisco de Goya
112;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Rembrandt ?;La Ronde de nuit
113;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Chien des Baskerville » ?;Arthur Conan Doyle
114;Géographie;Capitales;ouverte;Quelle est la capitale de Tchad ?;N'Djamena
115;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « L'Alchimiste » est de Paulo Coelho ?;Vrai
116;Géographie;Capitales;vrai/faux;Vrai ou faux : Jérusalem est la capitale de Israël ?;Vrai
117;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Inventeur de la souris informatique — Douglas Engelbart ?;Vrai
118;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Sagrada Família » est de Antoni Gaudí ?;Vrai
119;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Le Corbusier ?;Villa Savoye
120;Géographie;Capitales;ouverte;Quelle est la capitale de Brésil ?;Brasília
121;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Début de la Seconde Guerre mondiale ?;1939
122;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Colombie est Caracas ?;Faux (c'est Bogota)
123;Géographie;Capitales;vrai/faux;Vrai ou faux : Bandar Seri Begawan est la capitale de Brunei ?;Vrai
124;Géographie;Capitales;vrai/faux;Vrai ou faux : Jakarta est la capitale de Indonésie ?;Vrai
125;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Madame Bovary » ?;Gustave Flaubert
126;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Actrice oscarisée pour 'La Môme' — Marion Cotillard ?;Vrai
127;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Francisco de Goya ?;Le Tres de Mayo
128;Géographie;Capitales;ouverte;De quel pays Berlin est-elle la capitale ?;Allemagne
129;Géographie;Capitales;ouverte;Quelle est la capitale de Albanie ?;Tirana
130;Technologies du quotidien;Objets & internet;ouverte;Technique de chiffrement qui utilise une paire de clés;Cryptographie asymétrique
131;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Document qui interdit la torture et les traitements inhumains (ONU, 1984) — Convention contre la torture ?;Vrai
132;Géographie;Capitales;ouverte;De quel pays Managua est-elle la capitale ?;Nicaragua
133;Politique & Institutions;Chefs d'État & organisations;ouverte;Institution parlementaire européenne siégeant à Strasbourg;Parlement européen
134;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1789 ?;Prise de la Bastille
135;Économie & Finance;Concepts & crises;ouverte;Organisation qui prête aux États en difficulté (sigle);FMI
136;Géographie;Capitales;ouverte;Quelle est la capitale de Ouganda ?;Kampala
137;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le matérialisme historique ?;Karl Marx
138;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Premier homme à traverser l'Atlantique en avion en solitaire — Charles Lindbergh ?;Vrai
139;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1957 ?;Traité de Rome (CEE)
140;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Sénégal est Kingston ?;Faux (c'est Dakar)
141;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Le Tres de Mayo » est de Francisco de Goya ?;Vrai
142;Géographie;Capitales;vrai/faux;Vrai ou faux : Lisbonne est la capitale de Portugal ?;Vrai
143;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Zaha Hadid ?;Heydar Aliyev Center
144;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Bhoutan est Singapour ?;Faux (c'est Thimphou)
145;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Rivage des Syrtes » ?;Julien Gracq
146;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1947 ?;Indépendance de l'Inde
147;Géographie;Capitales;ouverte;Quelle est la capitale de Estonie ?;Tallinn
148;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Immanuel Kant est lié à L'impératif catégorique ?;Vrai
149;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Paul Cézanne ?;Les Joueurs de cartes
150;Histoire;Dates clés;vrai/faux;Vrai ou faux : Découverte de l'Amérique par Christophe Colomb a eu lieu en 1492 ?;Vrai
151;Sport;Records & événements;vrai/faux;Vrai ou faux : Premier marathonien officiel moderne (1896) — Spyridon Louis ?;Vrai
152;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Jeune Fille à la perle » est de Johannes Vermeer ?;Vrai
153;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Les Deux Fridas » ?;Frida Kahlo
154;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Rivage des Syrtes » est de Julien Gracq ?;Vrai
155;Politique & Institutions;Chefs d'État & organisations;ouverte;Traité qui fonde l'Union européenne (1992);Maastricht
156;Géographie;Capitales;ouverte;De quel pays Port Moresby est-elle la capitale ?;Papouasie-Nouvelle-Guinée
157;Géographie;Capitales;ouverte;De quel pays Reykjavik est-elle la capitale ?;Islande
158;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « American Gothic » est de Grant Wood ?;Vrai
159;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Fondation » ?;Isaac Asimov
160;Géographie;Capitales;ouverte;De quel pays Moscou est-elle la capitale ?;Russie
161;Société & Médias;Réseaux, slogans, démographie;ouverte;Terme pour désigner les faux comptes sur les réseaux sociaux;Bots
162;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Auteur de 'Hallelujah' — Leonard Cohen ?;Vrai
163;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Révolution iranienne ?;1979
164;Géographie;Capitales;ouverte;De quel pays Minsk est-elle la capitale ?;Biélorussie
165;Sport;Records & événements;vrai/faux;Vrai ou faux : Équipement commun au hockey et au patinage artistique — Patins ?;Vrai
166;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Pays de neige » est de Yasunari Kawabata ?;Vrai
167;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Enzyme qui dégrade l'amidon dans la salive — Amylase ?;Vrai
168;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'éthique ?;Baruch Spinoza
169;Économie & Finance;Concepts & crises;ouverte;Accord commercial nord-américain, sigle;ALENA
170;Géographie;Capitales;vrai/faux;Vrai ou faux : Buenos Aires est la capitale de Argentine ?;Vrai
171;Géographie;Capitales;ouverte;Quelle est la capitale de Libye ?;Tripoli
172;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Genre musical né à La Nouvelle-Orléans vers 1900 — Jazz ?;Vrai
173;Géographie;Capitales;ouverte;Quelle est la capitale de Luxembourg ?;Luxembourg
174;Géographie;Capitales;ouverte;Quelle est la capitale de Sri Lanka ?;Colombo
175;Nature & Environnement;Faune, flore et climat;ouverte;Événement climatique El Niño touche principalement quel océan ?;Pacifique
176;Géographie;Capitales;ouverte;De quel pays Brazzaville est-elle la capitale ?;Congo
177;Géographie;Capitales;vrai/faux;Vrai ou faux : Le Caire est la capitale de Égypte ?;Vrai
178;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « L'Étranger » est de Albert Camus ?;Vrai
179;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Aristote est lié à La métaphysique ?;Vrai
180;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Procès » est de Franz Kafka ?;Vrai
181;Géographie;Capitales;ouverte;Quelle est la capitale de Azerbaïdjan ?;Bakou
182;Géographie;Capitales;ouverte;De quel pays Guatemala est-elle la capitale ?;Guatemala
183;Géographie;Capitales;ouverte;Quelle est la capitale de Sénégal ?;Dakar
184;Géographie;Capitales;ouverte;Quelle est la capitale de Koweït ?;Koweït
185;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Simone de Beauvoir ?;Le Deuxième Sexe
186;Géographie;Capitales;ouverte;Quelle est la capitale de Liban ?;Beyrouth
187;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Le Jardin des délices » ?;Hieronymus Bosch
188;Géographie;Capitales;ouverte;Quelle est la capitale de Belgique ?;Bruxelles
189;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Père Goriot » ?;Honoré de Balzac
190;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Fondateur de Facebook — Mark Zuckerberg ?;Vrai
191;Gastronomie;Plats & produits;vrai/faux;Vrai ou faux : Vin pétillant de la région Champagne — Champagne ?;Vrai
192;Chronologies & Premières fois;Pionniers & records;ouverte;Premier marathon olympique moderne;1896
193;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Vaccin contre la rage ?;Louis Pasteur
194;Géographie;Capitales;vrai/faux;Vrai ou faux : Canberra est la capitale de Australie ?;Vrai
195;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Moby Dick » est de Herman Melville ?;Vrai
196;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Premier film en couleurs aux Oscars (1939) — Autant en emporte le vent ?;Vrai
197;Cinéma & Séries;Films, prix, répliques;ouverte;Film culte français avec la réplique 'On n'est pas bien là?';Les Bronzés font du ski
198;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Réalisateur de 'Citizen Kane' — Orson Welles ?;Vrai
199;Musique;Œuvres, genres, artistes;ouverte;Festival de musique de Woodstock (année);1969
200;Chronologies & Premières fois;Pionniers & records;ouverte;Première ville à atteindre 1 million d'habitants;Rome antique
201;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le surhomme ?;Friedrich Nietzsche
202;Géographie;Capitales;vrai/faux;Vrai ou faux : Abou Dabi est la capitale de Émirats arabes unis ?;Vrai
203;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Fahrenheit 451 » ?;Ray Bradbury
204;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 2011 ?;Printemps arabe
205;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Candide » ?;Voltaire
206;Géographie;Capitales;ouverte;Quelle est la capitale de Hongrie ?;Budapest
207;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Compositeur de la musique de 'Star Wars' — John Williams ?;Vrai
208;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nom de la vitamine C — Acide ascorbique ?;Vrai
209;Géographie;Capitales;ouverte;De quel pays Colombo est-elle la capitale ?;Sri Lanka
210;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Wilhelm Röntgen ?;Rayons X
211;Géographie;Capitales;ouverte;Quelle est la capitale de Honduras ?;Tegucigalpa
212;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Chute du mur de Berlin ?;1989
213;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Réalisateur du 'Parrain' — Francis Ford Coppola ?;Vrai
214;Géographie;Capitales;vrai/faux;Vrai ou faux : Port-Louis est la capitale de Maurice ?;Vrai
215;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Téléphone est associé(e) à Alexander Graham Bell ?;Vrai
216;Géographie;Capitales;vrai/faux;Vrai ou faux : Bichkek est la capitale de Kirghizistan ?;Vrai
217;Géographie;Capitales;vrai/faux;Vrai ou faux : Islamabad est la capitale de Pakistan ?;Vrai
218;Géographie;Capitales;ouverte;Quelle est la capitale de Lituanie ?;Vilnius
219;Géographie;Capitales;vrai/faux;Vrai ou faux : Tbilissi est la capitale de Géorgie ?;Vrai
220;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Post-it est associé(e) à Art Fry ?;Vrai
221;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Platon est lié à La théorie des Idées ?;Vrai
222;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « La Disparition » est de Georges Perec ?;Vrai
223;Géographie;Capitales;vrai/faux;Vrai ou faux : Varsovie est la capitale de Pologne ?;Vrai
224;Géographie;Capitales;ouverte;De quel pays Bandar Seri Begawan est-elle la capitale ?;Brunei
225;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1945 ?;Création de l'ONU
226;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Crime et Châtiment » est de Fiodor Dostoïevski ?;Vrai
227;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Louis Pasteur ?;Vaccin contre la rage
228;Géographie;Capitales;vrai/faux;Vrai ou faux : Ouagadougou est la capitale de Burkina Faso ?;Vrai
229;Nature & Environnement;Faune, flore et climat;ouverte;Nom du phénomène inverse de l'acidification des océans;Alcalinisation (ou augmentation du pH)
230;Géographie;Capitales;ouverte;Quelle est la capitale de Grèce ?;Athènes
231;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Opéra italien célèbre 'Nessun dorma' tiré de;Turandot
232;Géographie;Capitales;ouverte;Quelle est la capitale de Pakistan ?;Islamabad
233;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Haruki Murakami ?;Kafka sur le rivage
234;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Plus grand désert chaud du monde — Sahara ?;Vrai
235;Géographie;Capitales;vrai/faux;Vrai ou faux : Berlin est la capitale de Allemagne ?;Vrai
236;Sport;Records & événements;ouverte;Tennis : « GOAT » aux 24 titres du Grand Chelem;Novak Djokovic
237;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Déclaration d'indépendance des États-Unis ?;1776
238;Géographie;Capitales;ouverte;Quelle est la capitale de Mexique ?;Mexico
239;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Tartuffe » est de Molière ?;Vrai
240;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Barbade est Séoul ?;Faux (c'est Bridgetown)
241;Nature & Environnement;Faune, flore et climat;ouverte;Plus grand récif corallien du monde;Grande Barrière de corail
242;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Le Baiser » ?;Gustav Klimt
243;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Jürgen Habermas est lié à L'agir communicationnel ?;Vrai
244;Géographie;Capitales;ouverte;De quel pays Kingston est-elle la capitale ?;Jamaïque
245;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Langage de programmation créé par Guido van Rossum — Python ?;Vrai
246;Géographie;Capitales;vrai/faux;Vrai ou faux : La Paz est la capitale de Bolivie ?;Vrai
247;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Ouzbékistan est Paris ?;Faux (c'est Tachkent)
248;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « À la recherche du temps perdu » ?;Marcel Proust
249;Géographie;Capitales;ouverte;De quel pays Jérusalem est-elle la capitale ?;Israël
250;Géographie;Capitales;ouverte;Quelle est la capitale de Afrique du Sud ?;Pretoria
251;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Ubik » ?;Philip K. Dick
